title,description,category
"Draft Q3 performance self-review","Write up accomplishments and areas for improvement for quarterly review with manager.",Work
"Prep slides for Monday all-hands","Create deck summarizing project progress and key metrics for team-wide meeting.",Work
"Respond to client inquiry about timeline","Draft email clarifying delivery schedule and next steps for client project.",Work
"Update project roadmap in Jira","Adjust sprint milestones and add new tasks based on recent scope changes.",Work
"Review team timesheets for approval","Check hours logged by direct reports and approve before payroll cutoff.",Work
"Send follow-up emails to prospects","Reach out to three leads who attended the demo to move them down funnel.",Work
"Coordinate interview schedule for candidate","Arrange time slots with panel and send calendar invites to final-round applicant.",Work
"Finalize budget proposal for Q4","Compile cost estimates and justifications for next quarter's spending plan.",Work
"Clean up email inbox and archive old threads","Organize folders and delete junk to get to zero unread messages.",Work
"Set up new laptop for remote employee","Install necessary software and configure VPN access for upcoming hire.",Work
"Write handoff doc for pending projects","Prepare summary of ongoing tasks and contacts for colleague covering my leave.",Work
"Run weekly sales report in CRM","Generate pipeline dashboard and export to PDF for leadership review.",Work
"Schedule team building offsite activity","Book venue and coordinate catering for half-day retreat next month.",Work
"Revise employee onboarding checklist","Update orientation materials based on new HR policies and tools.",Work
"Attend cross-functional sync with product","Join meeting to align on feature requirements and launch timelines.",Work
"Create social media content calendar","Plan posts for upcoming month including copy and visual assets.",Work
"Analyze churn data from last quarter","Identify trends and root causes to present findings to retention team.",Work
"Prepare invoice for consulting services","Itemize hours and expenses then send to finance for client billing.",Work
"Order business cards for new hires","Submit design and printing request for 10 new team members.",Work
"Review and redline vendor contract","Mark up legal terms and send revisions to procurement for negotiation.",Work
"Compile weekly status report for director","Summarize completed tasks, blockers, and next week's priorities.",Work
"Update internal wiki with process changes","Refresh documentation for CRM usage and approval workflows.",Work
"Record Loom demo for new feature","Walk through functionality and share recording with customer success team.",Work
"Plan agenda for monthly ops review","Outline discussion points and assign speaking slots to each department lead.",Work
"Follow up on expense reimbursement request","Check status of outstanding claims and remind finance to process.",Work
"Organize shared drive and archive old files","Move completed project folders to archive and rename for clarity.",Work
"Send thank-you notes to internship cohort","Draft personalized emails to summer interns wrapping up their program.",Work
"Test staging environment before deployment","Run regression suite and log any bugs found in pre-prod build.",Work
"Schedule one-on-ones with direct reports","Book 30-min slots for each team member to discuss career development.",Work
"Prepare talking points for board meeting","Craft concise updates on revenue, user growth, and operational metrics.",Work
"Renew software licenses for design team","Check expirations and process purchase orders for Adobe and Figma.",Work
"Create onboarding ticket for new dev","Set up GitHub access, AWS permissions, and send welcome guide.",Work
"Summarize customer feedback from surveys","Pull NPS data and highlight recurring themes for product improvements.",Work
"Coordinate with PR on press release","Share product details and review draft announcement for upcoming launch.",Work
"Update project timeline in Gantt chart","Adjust dependencies and add buffer for critical path tasks.",Work
"Send meeting recap to stakeholders","Distribute notes and action items from this morning's strategy session.",Work
"Review peer's design mockup and comment","Provide constructive feedback on UI wireframes within Figma.",Work
"Reserve conference room for client presentation","Book main boardroom and test AV equipment ahead of visit.",Work
"Complete mandatory compliance training","Watch video modules and pass quiz on data privacy regulations.",Work
"Export leads list for email campaign","Filter CRM database and create CSV for marketing automation tool.",Work
"Set up recurring monthly report automation","Schedule script to pull metrics and email dashboard every first Monday.",Work
"Conduct exit interview for departing employee","Meet with staff member to gather feedback and complete offboarding forms.",Work
"Refresh company homepage copy","Update hero text and call-to-action based on latest brand messaging.",Work
"Approve time-off requests in HR system","Review pending PTO applications and approve or deny as needed.",Work
"Prepare debug notes for support team","Document common issues and workarounds to share with customer reps.",Work
"Order catering for lunch-and-learn","Arrange food delivery for 20 attendees at tomorrow's training session.",Work
"Update password manager for shared accounts","Rotate credentials and grant access to new team members only.",Work
"Create data viz for monthly board packet","Build charts in Tableau to illustrate sales performance and forecasts.",Work
"Write job description for open role","Draft responsibilities and qualifications for senior engineer position.",Work
"Clean up Slack channels and archive inactive","Remove old channels and organize workspace for better focus.",Work
"Schedule vendor demo for procurement","Invite IT and finance to evaluate new expense management tool.",Work
"Review analytics dashboards for anomalies","Check traffic and conversion data to flag any unexpected drops.",Work
"Send reminder about all-hands submission","Notify teams to submit their project updates by Friday EOD.",Work
"Prepare asset handoff for agency partner","Package final logos, fonts, and style guide for external creative team.",Work
"Update employee directory with new pics","Upload recent headshots and update contact info for internal portal.",Work
"Plan off-cycle performance check-ins","Set up quick 15-min meetings to give mid-quarter feedback to juniors.",Work
"Review security audit findings and prioritize","Assess vulnerability report and assign fixes to relevant engineers.",Work
"Draft internal newsletter for next week","Write blurbs about team wins, birthdays, and upcoming events.",Work
"Coordinate travel arrangements for conference","Book flights and hotel for 3 staff attending industry expo.",Work
"Finalize OKR tracker for current quarter","Input progress scores and link to supporting evidence in shared doc.",Work
"Test disaster recovery backup procedure","Simulate restore from backup to verify data integrity and speed.",Work
"Send calendar hold for annual planning offsite","Reserve dates and send preliminary agenda to executive team.",Work
"Create decision log for project choices","Document rationale for major technical and design decisions made.",Work
"Review and approve expense reports from team","Check receipts and code each report to correct cost center.",Work
"Prepare welcome kit for new board member","Assemble folder with bylaws, financials, and meeting schedule.",Work
"Set up Zapier automation for lead scoring","Connect CRM to email tool to trigger alerts for hot leads.",Work
"Schedule post-mortem for failed deployment","Organize meeting to discuss root cause and prevent recurrence.",Work
"Call mom for weekly catch-up","Chat with Mom about her week and plan a visit for next month.",Personal
"Schedule dentist appt for cleaning","Call dental office to book a routine check-up and polish.",Personal
"Clean out the garage and donate items","Sort through boxes and take usable goods to charity drop-off.",Personal
"Plan weekend hiking trip with friends","Research trails, pack supplies, and coordinate carpool for Saturday.",Personal
"Do laundry and fold all clothes","Wash, dry, and put away accumulated laundry from the past week.",Personal
"Water indoor plants and prune dead leaves","Check soil moisture and trim brown edges on houseplants.",Personal
"Renew driver's license online","Complete DMV application and upload required documents for renewal.",Personal
"Meal prep lunches for the workweek","Cook grains, proteins, and veggies to pack five balanced lunches.",Personal
"Organize bookshelf by genre and author","Rearrange books and donate any duplicates or unread titles.",Personal
"Reply to wedding RSVP for cousin","Fill out online form and select meal option for the September wedding.",Personal
"Set up automatic bill pay for utilities","Log into accounts and schedule recurring payments for water and electric.",Personal
"Declutter closet and make donation pile","Try on clothes and bag items not worn in the last year.",Personal
"Call grandma to wish her happy birthday","Wish her a happy birthday and arrange a time to visit with gifts.",Personal
"Book flights for Thanksgiving travel","Compare prices and reserve round-trip tickets to visit family.",Personal
"Clean the bathroom thoroughly","Scrub tub, toilet, sink, and mirrors with disinfectant and bleach.",Personal
"Make a grocery list for the week","Write down ingredients needed for planned dinners and snacks.",Personal
"Schedule haircut appointment","Call salon and book a trim with preferred stylist for next Saturday.",Personal
"Change air filters in HVAC system","Replace old filters with new ones to improve air quality and efficiency.",Personal
"Take car in for oil change and tire rotation","Drive to service center and get routine maintenance done.",Personal
"Write thank-you cards for graduation gifts","Draft personal notes to relatives who sent money and presents.",Personal
"Plan date night for this Friday","Choose restaurant, make reservation, and arrange activities after dinner.",Personal
"Organize digital photos into albums","Sort phone pictures into folders by event and delete blurry duplicates.",Personal
"Deep clean kitchen counters and appliances","Wipe down all surfaces, including microwave and stovetop.",Personal
"Drop off dry cleaning and pick up suits","Take garments to cleaners and collect already finished items.",Personal
"Sign up for volunteer shift at food bank","Register for a 3-hour slot to sort donations and pack boxes.",Personal
"Update emergency contact list","Refresh phone numbers for family, neighbors, and doctor's office.",Personal
"Buy new running shoes and athletic socks","Visit store and try on several brands for proper fit and support.",Personal
"Plan garden layout for spring planting","Sketch beds and order seeds for tomatoes, peppers, and herbs.",Personal
"Schedule eye exam for new prescription","Call optometrist to book comprehensive vision test.",Personal
"Clean out fridge and toss expired items","Check all dates and wipe down shelves with baking soda solution.",Personal
"Send care package to sibling in college","Fill box with snacks, toiletries, and a handwritten letter.",Personal
"Backup phone photos to cloud storage","Connect to Wi-Fi and sync images to Google Photos or iCloud.",Personal
"Plan outfit for job interview tomorrow","Select suit, iron shirt, and polish shoes for a professional look.",Personal
"Call landlord about leaky faucet","Report issue and request plumber visit to fix the kitchen drip.",Personal
"Organize desk drawer and toss old pens","Sort stationery and recycle dried-out markers and broken clips.",Personal
"Watch tutorial on home repair skills","Learn how to patch drywall and caulk bathtub via YouTube.",Personal
"Make reservation for birthday dinner","Book table at favorite restaurant for 8 people next Saturday.",Personal
"Vacuum all carpets and area rugs","Run vacuum through living room, bedrooms, and hallways thoroughly.",Personal
"Write bucket list for the year","Jot down experiences and goals to accomplish before next birthday.",Personal
"Reach out to old friend from college","Send text to catch up and see if they're free for a call.",Personal
"Clean windows and glass surfaces indoors","Wipe mirrors and window panes with streak-free cleaner.",Personal
"Replace burned-out lightbulbs around house","Check all fixtures and install new LED bulbs where needed.",Personal
"Set up a compost bin in backyard","Assemble bin and start collecting fruit peels and coffee grounds.",Personal
"Create playlist for morning runs","Compile upbeat tracks to keep motivation high during cardio.",Personal
"Schedule mattress delivery for new bed","Confirm delivery window and arrange old mattress pickup.",Personal
"Plan Halloween costume and buy supplies","Decide on theme and purchase makeup, fabric, and props.",Personal
"Clean out car interior and vacuum seats","Remove trash, shake mats, and wipe dashboard with cleaner.",Personal
"Visit farmers market for fresh produce","Go early to pick up seasonal fruits, vegetables, and honey.",Personal
"Write letters to pen pals abroad","Catch up with friends in UK and Australia via handwritten notes.",Personal
"Organize tax documents folder","Gather W-2s, receipts, and bank statements for upcoming filing.",Personal
"Schedule carpet cleaning service","Book professional steam cleaning for living room and hallway.",Personal
"Fix loose cabinet handle in kitchen","Tighten screws and align all knobs on cabinet doors.",Personal
"Buy new bedsheets and pillowcases","Choose cotton set and wash before using on the bed.",Personal
"Plan birthday party for partner","Coordinate guest list, cake order, and decorations for surprise.",Personal
"Download and organize e-books on tablet","Categorize library and delete finished titles to free space.",Personal
"Set up home gym area in spare room","Lay mat, arrange weights, and mount mirror for workouts.",Personal
"Call internet provider about bill increase","Negotiate rate and ask about current promotional offers.",Personal
"Create a weekly cleaning schedule","Write down chores for each day to stay on top of housework.",Personal
"Bake cookies for office colleagues","Prepare batch of chocolate chip treats to share at work.",Personal
"Charge all electronic devices overnight","Plug in laptop, phone, tablet, and headphones for morning.",Personal
"Research best travel insurance plans","Compare coverage and prices for upcoming international trip.",Personal
"Make a photo collage for wall","Print favorite pictures and arrange them in a stylish frame grid.",Personal
"Replace worn-out shower curtain liner","Buy new liner and install to prevent mildew buildup.",Personal
"Schedule a massage therapy session","Book 60-minute deep tissue massage to relieve back pain.",Personal
"Buy groceries for weekly meal plan","Shop for produce, dairy, meats, and pantry staples from list.",Shopping
"Order new running shoes from online store","Select brand and size then check out with express shipping.",Shopping
"Pick up dry cleaning and drop off suits","Collect finished garments and leave new items for pressing.",Shopping
"Get birthday gift for Sarah's party","Shop for a nice candle or book and wrapping paper.",Shopping
"Purchase office supplies like pens and sticky notes","Buy notebooks, highlighters, and printer paper from store.",Shopping
"Buy winter coat on end-of-season sale","Try on styles and choose one with good insulation and fit.",Shopping
"Order contact lenses and solution online","Re-up prescription and add to cart with shipping.",Shopping
"Shop for new bedsheets and pillowcases","Find cotton percale set in neutral color for guest room.",Shopping
"Buy ingredients for dinner party","Pick up fresh herbs, wine, and specialty cheese from market.",Shopping
"Purchase gift cards for niece's graduation","Buy Amazon and Starbucks cards in decorative holders.",Shopping
"Stock up on household cleaning supplies","Get bleach, sponges, and glass cleaner in bulk.",Shopping
"Order textbooks for next semester","Compare prices on Chegg and Amazon for required reading.",Shopping
"Buy new jeans and casual tops","Try on multiple fits and choose versatile pieces for everyday.",Shopping
"Get pet food and treats from pet store","Purchase kibble, dental chews, and a new toy for the dog.",Shopping
"Shop for art supplies for painting class","Buy canvas, brushes, and acrylic paint set online.",Shopping
"Pick up prescription medication at pharmacy","Collect refill and ask pharmacist about side effects.",Shopping
"Order a new phone case and screen protector","Choose durable case with drop protection and clear film.",Shopping
"Buy produce and meat for weekend BBQ","Get burgers, corn, and salad ingredients from local butcher.",Shopping
"Purchase holiday decorations and lights","Shop for tree ornaments, garlands, and outdoor string lights.",Shopping
"Get car air freshener and floor mats","Buy accessories to keep vehicle interior smelling clean.",Shopping
"Order vitamins and supplements online","Restock multivitamins, omega-3, and vitamin D from retailer.",Shopping
"Buy a new backpack for daily commute","Look for water-resistant, padded laptop compartment and comfort.",Shopping
"Purchase coffee beans and tea bags","Get freshly roasted beans and assorted herbal teas.",Shopping
"Shop for baby shower gift",  "Choose onesies, blankets, and a gift receipt from the registry.",Shopping
"Buy gardening seeds and potting soil","Get tomato, basil, and flower seeds plus soil mix.",Shopping
"Order wireless earbuds for workouts","Compare models and buy sweatproof version with good reviews.",Shopping
"Purchase new towels and bath mat","Select soft cotton set in matching color for bathroom refresh.",Shopping
"Get printer ink and paper refills","Buy cartridges and ream of paper for home office printing.",Shopping
"Shop for camping gear and supplies","Buy tent, sleeping bag, and portable stove for upcoming trip.",Shopping
"Buy a new watch and strap replacement","Choose simple analog watch and extra leather band.",Shopping
"Order homemade candles for relaxation","Purchase soy wax melts and essential oil diffuser online.",Shopping
"Purchase gift wrap and ribbon for presents","Get rolls of wrapping paper and coordinating bows.",Shopping
"Buy storage bins for closet organization","Acquire clear plastic bins with lids for seasonal clothes.",Shopping
"Shop for new makeup and skincare products","Restock foundation, moisturizer, and sunscreen from Sephora.",Shopping
"Order a new yoga mat and blocks","Select non-slip mat and cork blocks for home practice.",Shopping
"Purchase batteries and surge protectors","Get AA, AAA, and power strips for electronics.",Shopping
"Buy a new umbrella and raincoat","Choose compact umbrella and lightweight waterproof jacket.",Shopping
"Shop for wall art and picture frames","Find prints and frames to decorate living room walls.",Shopping
"Order kitchen gadgets like a spiralizer","Buy veggie cutter, peeler, and measuring spoons.",Shopping
"Purchase snacks and drinks for road trip","Stock up on chips, granola bars, water, and soda.",Shopping
"Buy a new laptop sleeve and mouse","Get padded sleeve and wireless mouse for remote work.",Shopping
"Shop for wedding guest outfit and shoes","Find formal dress and comfortable heels for the ceremony.",Shopping
"Order custom photo calendar for gifts","Upload family photos and print calendar for relatives.",Shopping
"Purchase laundry detergent and fabric softener","Buy eco-friendly pods and dryer sheets in bulk.",Shopping
"Buy a new water bottle and lunch box","Get insulated stainless steel bottle and bento box.",Shopping
"Shop for men's grooming products","Buy shaving cream, aftershave, and beard oil.",Shopping
"Order sushi platter for party",   "Reserve assorted sushi and sashimi tray for 10 guests.",Shopping
